Document group,Document name,文本标题,年份,时间阶段,内容类属,内容主题,内容概述,时间段2,文本编号
Group 1,19970912_提升自我，找到切入点，迎接人生新挑战,提升自我，找到切入点，迎接人生新挑战,1997,1,队伍建设,培养选拔,加强自我培训,1994-2000,1997-11-DW2
Group 1,19970916_当代青年怎样爱国,当代青年怎样爱国,1997,1,队伍建设,文化理念,做好本职工作，建设华为,1994-2000,1997-12-DW3
Group 1,1997_在《委员会管理法》评审上的重要讲话,在《委员会管理法》评审上的重要讲话,1997,1,管理优化,制度建设,公司委员会管理法,1994-2000,1997-13-GL4
Group 1,1997_我们需要什么样的干部,我们需要什么样的干部,1997,1,队伍建设,培养选拔,对干部的要求,1994-2000,1997-14-DW2
Group 1,1997_苦练基本功，争做维护专家,苦练基本功，争做维护专家,1997,1,管理优化,管理变革,维护人员的优化政策,1994-2000,1997-15-GL1
Group 1,19980116_狭路相逢勇者生,狭路相逢勇者生,1998,1,战略导向,总体战略,管理与服务上狠下功夫推进公司进步,1994-2000,1998-1-ZL4
Group 1,1998012_不做昙花一现的英雄,不做昙花一现的英雄,1998,1,战略导向,总体战略,华为二次创业中的战略,1994-2000,1998-2-ZL4
Group 1,19980220_我们向美国人民学习什么,我们向美国人民学习什么,1998,1,管理优化,制度建设,向美国学习管理,1994-2000,1998-3-GL4
Group 1,19980328_要从必然王国，走向自由王国,要从必然王国，走向自由王国,1998,1,管理优化,制度建设,强化职业化管理,1994-2000,1998-4-GL4
Group 1,199805_希望寄托在你们身上,希望寄托在你们身上,1998,1,队伍建设,文化理念,鼓励自我批判,1994-2000,1998-5-DW3
Group 1,19980620_华为的红旗到底能打多久,华为的红旗到底能打多久,1998,1,战略导向,总体战略,华为的核心价值,1994-2000,1998-6-ZL4
Group 1,19980716_小改进、大奖励,小改进、大奖励,1998,1,队伍建设,考评激励,考核评价,1994-2000,1998-7-DW1
Group 1,199809_全心全意对产品负责全心全意为客户服务,全心全意对产品负责全心全意为客户服务,1998,1,战略导向,研发创新,对产品负责,1994-2000,1998-8-ZL3
Group 1,19990208_创业创新必须以提升企业核心竞争力为中心,创业创新必须以提升企业核心竞争力为中心,1999,1,战略导向,研发创新,研发创新的目标导向,1994-2000,1999-1-ZL3
Group 1,19990417_在IPD动员大会上的讲话,在IPD动员大会上的讲话,1999,1,管理优化,管理变革,IPD流程改革,1994-2000,1999-2-GL1
Group 1,199904_在实践中培养和选拔干部,在实践中培养和选拔干部,1999,1,队伍建设,培养选拔,员工培养,1994-2000,1999-3-DW2
Group 1,19990520_能工巧匠是我们企业的宝贵财富,能工巧匠是我们企业的宝贵财富,1999,1,队伍建设,培养选拔,培养工人队伍,1994-2000,1999-4-DW2
Group 1,20000128_凤凰展翅再创辉煌,凤凰展翅再创辉煌,2000,1,队伍建设,文化理念,鼓励团结奋斗,1994-2000,2000-1-DW3
Group 1,20000320_一个职业管理者的责任和使命,一个职业管理者的责任和使命,2000,1,队伍建设,培养选拔,对干部的要求,1994-2000,2000-2-DW2
Group 1,20000408_活下去，是企业的硬道理,活下去，是企业的硬道理,2000,1,战略导向,总体战略,在管理进步中寻求企业生存,1994-2000,2000-3-ZL4
Group 1,20000720_创新是华为发展的不竭动力,创新是华为发展的不竭动力,2000,1,战略导向,研发创新,创新提升核心竞争力,1994-2000,2000-4-ZL3
Group 1,20000901_为什么要自我批判,为什么要自我批判,2000,1,队伍建设,文化理念,鼓励自我批判,1994-2000,2000-5-DW3
Group 1,2000_以客户为中心，加大平台投入，开放合作，实现共赢,以客户为中心，加大平台投入，开放合作，实现共赢,2000,1,战略导向,研发创新,研发导向,1994-2000,2000-6-ZL3
Group 1,20010118_雄赳赳气昂昂跨过太平洋,雄赳赳气昂昂跨过太平洋,2001,2,战略导向,总体战略,走向世界,2001-2005,2001-1-ZL4
Group 1,20010201_华为的冬天,华为的冬天,2001,2,战略导向,总体战略,提高管理效率,2001-2005,2001-2-ZL4
Group 1,20010424_北国之春,北国之春,2001,2,管理优化,管理变革,危机意识和管理体系进步,2001-2005,2001-3-GL1
Group 1,2002_迎接挑战，苦练内功，迎接春天的到来,迎接挑战，苦练内功，迎接春天的到来,2002,2,战略导向,总体战略,工作状况和新一年期望,2001-2005,2002-1-ZL4
Group 1,20030525_在理性与平实中存活,在理性与平实中存活,2003,2,战略导向,总体战略,商业模式和管理导向,2001-2005,2003-1-ZL4
Group 1,20030526_产品发展的路标是客户需求导向企业管理的目标是流程化的组织建设,产品发展的路标是客户需求导向企业管理的目标是流程化的组织建设,2003,2,战略导向,总体战略,坚持客户需求导向,2001-2005,2003-2-ZL4
Group 1,2003_发挥核心团队作用，不断提高人均效益,发挥核心团队作用，不断提高人均效益,2003,2,战略导向,总体战略,制定正确策略应对未来困难,2001-2005,2003-3-ZL4
Group 1,2003_在自我批判指导委员会座谈会上的讲话,在自我批判指导委员会座谈会上的讲话,2003,2,队伍建设,文化理念,自我批判,2001-2005,2003-4-DW3
Group 1,20040115_持续提高人均效益建设高绩效企业文化,持续提高人均效益建设高绩效企业文化,2004,2,管理优化,管理变革,提高人均效益,2001-2005,2004-1-GL1
Group 1,20050726_华为与对手做朋友海外不打价格战,华为与对手做朋友海外不打价格战,2005,2,战略导向,总体战略,实现双赢的海外拓展,2001-2005,2005-1-ZL4
Group 1,20060430_全流程降低成本和费用提高盈利能力,全流程降低成本和费用提高盈利能力,2006,2,管理优化,管理变革,降低成本和费用,2006-2010,2006-1-GL1
Group 1,20060510_在华为收购港湾时的谈话纪要,在华为收购港湾时的谈话纪要,2006,2,战略导向,总体战略,在合作中不断发展,2006-2010,2006-2-ZL4
Group 1,20060721_天道酬勤,天道酬勤,2006,2,队伍建设,文化理念,艰苦奋斗,2006-2010,2006-3-DW3
Group 1,20060904_上甘岭是不会自然产生将军的但将军都曾经是英雄,上甘岭是不会自然产生将军的但将军都曾经是英雄,2006,2,队伍建设,培养选拔,通过艰苦环境磨练干部,2006-2010,2006-4-DW2
Group 1,20061120_华为大学要成为将军的摇篮,华为大学要成为将军的摇篮,2006,2,队伍建设,培养选拔,华为大学的工作方针,2006-2010,2006-5-DW2
Group 1,20061214_在BT系统部、英国代表处汇报会上的讲话,在BT系统部、英国代表处汇报会上的讲话,2006,2,战略导向,跨国经营,英国代表处经营管理,2006-2010,2006-6-ZL2
Group 1,20070108_对区域监控工作的讲话纪要,对区域监控工作的讲话纪要,2007,2,管理优化,管理变革,财经的变革,2006-2010,2007-1-GL1
Group 1,20070108_财经的变革是华为公司的变革，不是财务系统的变革,财经的变革是华为公司的变革，不是财务系统的变革,2007,2,管理优化,制度建设,区域监控管理,2006-2010,2007-2-GL4
Group 1,200702_要快乐的度过充满困难的一生,要快乐的度过充满困难的一生,2007,2,管理优化,日常管理,引导员工文化活动,2006-2010,2007-3-GL2
Group 1,20070409_听取艰苦地区生活专项问题汇报会上的讲话,听取艰苦地区生活专项问题汇报会上的讲话,2007,2,管理优化,日常管理,保障艰苦地区生活,2006-2010,2007-4-GL2
Group 1,20070612_以生动活泼的方式传递奋斗者为主体的文化,以生动活泼的方式传递奋斗者为主体的文化,2007,2,队伍建设,培养选拔,员工培养如何传递公司文化,2006-2010,2007-5-DW2
Group 1,20070713_敢于胜利，才能善于胜利,敢于胜利，才能善于胜利,2007,2,战略导向,总体战略,如何打开市场,2006-2010,2007-6-ZL4
Group 1,20070721_完善和提高对艰苦地区员工的保障措施,完善和提高对艰苦地区员工的保障措施,2007,2,管理优化,日常管理,保障艰苦地区生活,2006-2010,2007-7-GL2
Group 1,20070728_珍惜生命，要从自己关爱自己做起,珍惜生命，要从自己关爱自己做起,2007,2,队伍建设,文化理念,关爱自己,2006-2010,2007-8-DW3
Group 1,20070808_变革最重要的问题是一定要落地,变革最重要的问题是一定要落地,2007,2,管理优化,管理变革,如何持续推进变革,2006-2010,2007-9-GL1
Group 1,20070914_将军如果不知道自己错在哪里，就永远不会成为将军,将军如果不知道自己错在哪里，就永远不会成为将军,2007,2,战略导向,跨国经营,地区部如何经营发展,2006-2010,2007-10-ZL2
Group 1,20080131_在EMT例会“08年公司业务计划与预算”汇报上的讲话,在EMT例会“08年公司业务计划与预算”汇报上的讲话,2008,2,战略导向,总体战略,未来作战方式与导向,2006-2010,2008-1-ZL4
Group 1,20080215_看莫斯科保卫战有感,看莫斯科保卫战有感,2008,2,战略导向,跨国经营,地区部如何经营发展,2006-2010,2008-2-ZL2
Group 1,20080410_人生是美好的，但过程确实是痛苦的,人生是美好的，但过程确实是痛苦的,2008,2,队伍建设,文化理念,危机意识,2006-2010,2008-3-DW3
Group 1,20080531_让青春的火花，点燃无愧无悔的人生,让青春的火花，点燃无愧无悔的人生,2008,2,战略导向,业务层战略,无线产品的奋斗历程和方向,2006-2010,2008-4-ZL1
Group 1,20080613_让青春的生命放射光芒,让青春的生命放射光芒,2008,2,战略导向,业务层战略,网络产品的奋斗历程和方向,2006-2010,2008-5-ZL1
Group 1,20080705_任正非在PSST体系干部大会上的讲话,任正非在PSST体系干部大会上的讲话,2008,2,队伍建设,培养选拔,干部的工作和培养方向,2006-2010,2008-6-DW2
Group 1,20080715_逐步加深理解“以客户为中心，以奋斗者为本”的企业文化,逐步加深理解“以客户为中心，以奋斗者为本”的企业文化,2008,2,队伍建设,文化理念,华为的企业文化,2006-2010,2008-7-DW3
Group 1,20080721_在地区部向EMT进行2008年年中述职会议上的讲话,在地区部向EMT进行2008年年中述职会议上的讲话,2008,2,战略导向,总体战略,华为的战略思考和举措,2006-2010,2008-8-ZL4
Group 1,200807_理解国家，做好自己,理解国家，做好自己,2008,2,队伍建设,文化理念,危机意识,2006-2010,2008-9-DW3
Group 1,20080902_从泥坑里爬起来的人就是圣人,从泥坑里爬起来的人就是圣人,2008,2,队伍建设,文化理念,自我批判,2006-2010,2008-10-DW3
Group 1,20080922_从汶川特大地震一片瓦砾中，一座百年前建的教堂不倒所想到的,从汶川特大地震一片瓦砾中，一座百年前建的教堂不倒所想到的,2008,2,战略导向,研发创新,研发的导向,2006-2010,2008-11-ZL3
Group 1,20081229_围绕客户PO打通，支撑“回款、收入、项目预核算”,围绕客户PO打通，支撑“回款、收入、项目预核算”,2008,2,管理优化,管理变革,打通客户PO,2006-2010,2008-12-GL1
Group 1,20090116_让听得见炮声的人来决策,让听得见炮声的人来决策,2009,2,队伍建设,文化理念,奋斗精神,2006-2010,2009-1-DW3
Group 1,20090116_谁来呼唤炮火，如何及时提供炮火支援,谁来呼唤炮火，如何及时提供炮火支援,2009,2,管理优化,管理变革,建立有效的市场作战体系,2006-2010,2009-2-GL1
Group 1,20090324_市场经济是最好的竞争方式，经济全球化是不可阻挡的潮流,市场经济是最好的竞争方式，经济全球化是不可阻挡的潮流,2009,2,战略导向,总体战略,华为的形势与目标,2006-2010,2009-3-ZL4
Group 1,20090424_深淘滩，低作堰,深淘滩，低作堰,2009,2,管理优化,管理变革,职业化和管理规范化,2006-2010,2009-4-GL1
Group 1,20090827_具有“长期持续艰苦奋斗的牺牲精神，永恒不变的艰苦奋斗的工作作风”是成为一个将军最基本条件,具有“艰苦奋斗的牺牲精神，永恒不变的艰苦奋斗的工作作风”是成为一个将军最基本条件,2009,2,队伍建设,培养选拔,核心工程队选拔,2006-2010,2009-5-DW2
Group 1,20091026_CFO要走向流程化和职业化，支撑公司及时、准确、优质、低成本交付,CFO要走向流程化和职业化，支撑公司及时、准确、优质、低成本交付,2009,2,队伍建设,培养选拔,CFO的发展导向,2006-2010,2009-6-DW2
Group 1,20091127_加快CFO队伍建设，支撑IFS推行落地,加快CFO队伍建设，支撑IFS推行落地,2009,2,管理优化,管理变革,IFS变革推行,2006-2010,2009-7-GL1
Group 1,20091231_春风送暖入屠苏,春风送暖入屠苏,2009,2,战略导向,总体战略,总结2009年华为的发展,2006-2010,2009-8-ZL4
Group 1,20100120_以客户为中心，以奋斗者为本，长期坚持艰苦奋斗是我们胜利之本,以客户为中心，以奋斗者为本，长期坚持艰苦奋斗是我们胜利之本,2010,2,管理优化,管理变革,销售体系的组织变革,2006-2010,2010-1-GL1
Group 1,20100304_在全球行政人员年度表彰暨经验交流大会座谈纪要,在全球行政人员年度表彰暨经验交流大会座谈纪要,2010,2,管理优化,职能体系建设,对行政管理的要求,2006-2010,2010-2-GL3
Group 1,20100430_拉通项目四算，支撑项目层面经营管理,拉通项目四算，支撑项目层面经营管理,2010,2,管理优化,管理变革,IFS变革推行,2006-2010,2010-3-GL1
Group 1,20100715_干部要担负起公司价值观的传承,干部要担负起公司价值观的传承,2010,2,队伍建设,文化理念,核心价值与理念,2006-2010,2010-4-DW3
Group 1,20100910_开放、合作、自我批判，做容千万家的天下英雄,开放、合作、自我批判，做容千万家的天下英雄,2010,2,战略导向,业务层战略,开放合作做好云业务,2006-2010,2010-5-ZL1
Group 1,20101125_改善和媒体的关系,改善和媒体的关系,2010,2,管理优化,日常管理,公共关系和战略宣传,2006-2010,2010-6-GL2
Group 1,20101206_五彩云霞飞遍天涯,五彩云霞飞遍天涯,2010,2,战略导向,业务层战略,发展云平台,2006-2010,2010-7-ZL1
Group 1,20110104_以“选拔制”建设干部队伍，按流程梳理和精简组织，推进组织公开性和均衡性建设,以“选拔制”建设干部队伍，按流程梳理和精简组织，推进组织公开性和均衡性建设,2011,3,队伍建设,培养选拔,建设干部队伍,2011-2014,2011-1-DW2
Group 1,20110117_成功不是未来前进的可靠向导,成功不是未来前进的可靠向导,2011,3,管理优化,管理变革,什么是变革和如何变革,2011-2014,2011-2-GL1
Group 1,20110223_关于珍爱生命与职业责任的讲话,关于珍爱生命与职业责任的讲话,2011,3,队伍建设,文化理念,奋斗精神,2011-2014,2011-3-DW3
Group 1,20111019_任正非与财经体系员工座谈讲话,任正非与财经体系员工座谈讲话,2011,3,队伍建设,培养选拔,财务人员培养选拔,2011-2014,2011-4-DW2
Group 1,20111031_力出一孔，要集中优势资源投入在主航道上，敢于去争取更大的机会与差距,力出一孔，要集中优势资源投入在主航道上，敢于去争取更大的机会与差距,2011,3,战略导向,业务层战略,无线业务战略,2011-2014,2011-5-ZL1
Group 1,20111225_一江春水向东流,一江春水向东流,2011,3,管理优化,制度建设,轮值CEO制度,2011-2014,2011-6-GL4
Group 1,20120119_不要盲目扩张，不要自以为已经强大,不要盲目扩张，不要自以为已经强大,2012,3,战略导向,总体战略,聚焦价值领域，增强作战能力,2011-2014,2012-1-ZL4
Group 1,20120319_绝对考核的目的是团结多数人,绝对考核的目的是团结多数人,2012,3,队伍建设,考评激励,基层员工的绝对考核,2011-2014,2012-2-DW1
Group 1,20120412_紧紧围绕客户，在战略层面宣传公司,紧紧围绕客户，在战略层面宣传公司,2012,3,管理优化,日常管理,公共关系和战略宣传,2011-2014,2012-3-GL2
Group 1,20120423_董事会领导下的CEO轮值制度辨,董事会领导下的CEO轮值制度辨,2012,3,管理优化,制度建设,轮值CEO制度,2011-2014,2012-4-GL4
Group 1,201209_面向未来，以客户痛点为切入点，全球化展示,面向未来，以客户痛点为切入点，全球化展示,2012,3,管理优化,管理变革,以客户为中心全球化展示,2011-2014,2012-5-GL1
Group 1,20121115_东南非多国管理部向任总汇报工作纪要,东南非多国管理部向任总汇报工作纪要,2012,3,战略导向,跨国经营,东南非多国管理,2011-2014,2012-6-ZL2
Group 1,20121120_与毛里求斯员工座谈会议纪要,与毛里求斯员工座谈会议纪要,2012,3,管理优化,职能体系建设,账务业务改进,2011-2014,2012-7-GL3
Group 1,20121219_与华为大学教育学院座谈会纪要,与华为大学教育学院座谈会纪要,2012,3,队伍建设,培养选拔,华为大学的培养导向,2011-2014,2012-8-DW2
Group 1,20121231_力出一孔，利出一孔,力出一孔，利出一孔,2012,3,战略导向,总体战略,聚焦从而提高效益,2011-2014,2012-9-ZL4
Group 1,20130114_在小国表彰会上的讲话,在小国表彰会上的讲话,2013,3,战略导向,跨国经营,提升小国盈利能力,2011-2014,2013-1-ZL2
Group 1,20130330_家人永远不接班,家人永远不接班,2013,3,管理优化,制度建设,上市和接班人问题,2011-2014,2013-2-GL4
Group 1,20130517_要敢于超越美国公司，最多就是输,要敢于超越美国公司，最多就是输,2013,3,队伍建设,培养选拔,片联对干部的培养,2011-2014,2013-3-DW2
Group 1,20130527_在海外行政后勤服务管理思路汇报会上的讲话,在海外行政后勤服务管理思路汇报会上的讲话,2013,3,管理优化,职能体系建设,提升行政服务管理水平,2011-2014,2013-4-GL3
Group 1,20130719_要培养一支能打仗、打胜仗的队伍,要培养一支能打仗、打胜仗的队伍,2013,3,队伍建设,培养选拔,员工选拔,2011-2014,2013-5-DW2
Group 1,20130723_在重装旅集训营座谈会上的讲话,在重装旅集训营座谈会上的讲话,2013,3,战略导向,总体战略,直面竞争扩大市场,2011-2014,2013-6-ZL4
Group 1,20130904_在GTS客户培训服务座谈会上的讲话,在GTS客户培训服务座谈会上的讲话,2013,3,战略导向,业务层战略,客户培训服务建设,2011-2014,2013-7-ZL1
Group 1,20130905_最好的防御就是进攻,最好的防御就是进攻,2013,3,战略导向,业务层战略,无线业务未来发展,2011-2014,2013-8-ZL1
Group 1,20131019_用乌龟精神，追上龙飞船,用乌龟精神，追上龙飞船,2013,3,战略导向,总体战略,华为如何追赶时代,2011-2014,2013-9-ZL4
Group 1,20131031_与CEC成员座谈会的讲话,与CEC成员座谈会的讲话,2013,3,管理优化,制度建设,法律遵从与道德遵从部门建设,2011-2014,2013-10-GL4
Group 1,20131105_在GTS网规网优业务座谈会上的讲话,在GTS网规网优业务座谈会上的讲话,2013,3,战略导向,业务层战略,GTS网规网优业务发展,2011-2014,2013-11-ZL1
Group 1,20131106_在华为大学教育学院工作汇报会上的讲话,在华为大学教育学院工作汇报会上的讲话,2013,3,队伍建设,培养选拔,员工培养,2011-2014,2013-12-DW2
Group 1,20131111_在IP交付保障团队座谈会上的讲话,在IP交付保障团队座谈会上的讲话,2013,3,战略导向,业务层战略,保障质量安全，推动循环流动变革,2011-2014,2013-13-ZL1
Group 1,20131222_聚焦商业成功，英雄不问出处,聚焦商业成功，英雄不问出处,2013,3,队伍建设,培养选拔,员工培养,2011-2014,2013-14-DW2
Group 1,20131228_在运营商网络BG战略务虚会上的讲话及主要讨论发言,在运营商网络BG战略务虚会上的讲话及主要讨论发言,2013,3,战略导向,总体战略,如何抓住未来大数据流量战略机会,2011-2014,2013-15-ZL4
Group 1,20131230_任正非在大规模消灭腐败进展汇报会上的讲话,任正非在大规模消灭腐败进展汇报会上的讲话,2013,3,管理优化,管理变革,消灭腐败,2011-2014,2013-16-GL1
Group 1,20140105_风物长宜放眼量,风物长宜放眼量,2014,3,战略导向,总体战略,聚焦主航道，抢占战略制高点,2011-2014,2014-1-ZL4
Group 1,20140113_做谦虚的领导者,做谦虚的领导者,2014,3,战略导向,总体战略,关注客户需求，实现有效发展,2011-2014,2014-2-ZL4
Group 1,20140122_在董事赋能研讨会上与候选专职董事交流讲话,在董事赋能研讨会上与候选专职董事交流讲话,2014,3,管理优化,管理变革,子公司董事会,2011-2014,2014-3-GL1
Group 1,20140129_握紧拳头才有力量,握紧拳头才有力量,2014,3,战略导向,总体战略,战略聚焦，抢占未来制高点,2011-2014,2014-4-ZL4
Group 1,20140219_自我批判，不断超越,自我批判，不断超越,2014,3,管理优化,管理变革,组织变革的方向,2011-2014,2014-5-GL1
Group 1,20140225_在外派伙食补助汇报会上的讲话,在外派伙食补助汇报会上的讲话,2014,3,管理优化,日常管理,薪酬和补助,2011-2014,2014-6-GL2
Group 1,20140307_在关于重装旅组织汇报会议上的讲话,在关于重装旅组织汇报会议上的讲话,2014,3,队伍建设,培养选拔,训战结合，加快干部成长,2011-2014,2014-7-DW2
Group 1,20140311_在大机会时代，千万不要机会主义,在大机会时代，千万不要机会主义,2014,3,战略导向,业务层战略,消费者BG的发展方向,2011-2014,2014-8-ZL1
Group 1,20140314_三年，从士兵到将军,三年，从士兵到将军,2014,3,管理优化,职能体系建设,以商业成功为导向盘活人力资源体系,2011-2014,2014-9-GL3
Group 1,20140327_在华大建设思路汇报会上的讲话,在华大建设思路汇报会上的讲话,2014,3,管理优化,制度建设,华为大学的建设,2011-2014,2014-10-GL4
Group 1,20140331_在日本研究所工作汇报会上的讲话,在日本研究所工作汇报会上的讲话,2014,3,战略导向,研发创新,华为日本研究所的发展,2011-2014,2014-11-ZL3
Group 1,20140409_与巴西代表处及巴供中心座谈纪要,与巴西代表处及巴供中心座谈纪要,2014,3,战略导向,跨国经营,巴西子公司的管理思路和改进,2011-2014,2014-12-ZL2
Group 1,20140416_在华为上研所专家座谈会上的讲话,在华为上研所专家座谈会上的讲话,2014,3,战略导向,总体战略,聚焦主航道针尖战略,2011-2014,2014-13-ZL4
Group 1,20140424_在后备干部项目管理与经营短训项目座谈会上的讲话,在后备干部项目管理与经营短训项目座谈会上的讲话,2014,3,队伍建设,培养选拔,在实践中选拔干部,2011-2014,2014-14-DW2
Group 1,20140509_喜马拉雅山的水为什么不能流入亚马逊河,喜马拉雅山的水为什么不能流入亚马逊河,2014,3,战略导向,总体战略,华为如何应对未来危机和战略机会,2011-2014,2014-15-ZL4
Group 1,20140509_简化管理，选拔使用有全局观的干部，数据及信息透明,简化管理，选拔使用有全局观的干部，数据及信息透明,2014,3,管理优化,管理变革,变革的目的和实施,2011-2014,2014-16-GL1
Group 1,20140513_推动行政服务业务变革，试点流程责任制,推动行政服务业务变革，试点流程责任制,2014,3,管理优化,职能体系建设,推进行政服务业务优化,2011-2014,2014-17-GL3
Group 1,20140527_在海外子公司董事会推行工作汇报会上的讲话,在海外子公司董事会推行工作汇报会上的讲话,2014,3,管理优化,职能体系建设,建设好子公司董事会综合治理平台,2011-2014,2014-18-GL3
Group 1,20140604_在西欧地区部工作汇报会上的讲话,在西欧地区部工作汇报会上的讲话,2014,3,管理优化,管理变革,西欧地区部改善管理,2011-2014,2014-19-GL1
Group 1,20140605_在德国LTC教导队训战班座谈会上的讲话,在德国LTC教导队训战班座谈会上的讲话,2014,3,管理优化,管理变革,LTC变革,2011-2014,2014-20-GL1
Group 1,20140616_为什么我们今天还要向“蓝血十杰”学习,为什么我们今天还要向“蓝血十杰”学习,2014,3,管理优化,管理变革,实施科学管理,2011-2014,2014-21-GL1
Group 1,20140619_洞庭湖装不下太平洋的水,洞庭湖装不下太平洋的水,2014,3,战略导向,业务层战略,存储业务的未来发展,2011-2014,2014-22-ZL1
Group 1,20140624_在“关于内部网络安全工作方向“的决议,在“关于内部网络安全工作方向“的决议,2014,3,管理优化,职能体系建设,建立先进可靠的网络安全系统,2011-2014,2014-23-GL3
Group 1,20140624_在人力资源工作汇报会上的讲话,在人力资源工作汇报会上的讲话,2014,3,管理优化,职能体系建设,人力资源战略方向,2011-2014,2014-24-GL3
Group 1,20140707_第一次就把事情做对,第一次就把事情做对,2014,3,管理优化,职能体系建设,供应链和仓储端到端变革,2011-2014,2014-25-GL3
Group 1,20140723_在变革项目激励政策汇报会上的讲话,在变革项目激励政策汇报会上的讲话,2014,3,队伍建设,考评激励,员工激励,2011-2014,2014-26-DW1
Group 1,20140723_在小国综合管理变革汇报会上的讲话,在小国综合管理变革汇报会上的讲话,2014,3,管理优化,管理变革,推进综合管理体系变革,2011-2014,2014-27-GL1
